"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"96","0.102062","0.032606","0.010417","0.030365","0.005682","0.015049","0.191886","0.002840","0.002890","0.006529","0.005010"
"97","0.101535","0.032353","0.010309","0.029614","0.003745","0.013949","0.194372","0.002226","0.005177","0.005799","0.005655"
"98","0.101015","0.032106","0.010204","0.027302","0.001336","0.016429","0.194386","0.001241","0.000749","0.009200","0.002134"
"99","0.100504","0.031862","0.010101","0.027167","0.002828","0.015180","0.196077","0.000144","0.001124","0.011094","0.004886"
"100","0.100000","0.031623","0.010000","0.022817","0.001328","0.014164","0.193985","0.002163","0.001281","0.009223","0.004498"
"101","0.099504","0.031388","0.009901","0.024500","0.001254","0.016119","0.196136","0.000963","0.000626","0.008773","0.001165"
"102","0.099015","0.031157","0.009804","0.027070","0.001079","0.017016","0.195121","0.000114","0.002613","0.008027","0.002363"
"103","0.098533","0.030929","0.009709","0.024911","0.001346","0.020802","0.196013","0.001775","0.001007","0.004966","0.002757"
"104","0.098058","0.030706","0.009615","0.026162","0.001994","0.018109","0.193012","0.003886","0.002481","0.005498","0.003911"
"105","0.097590","0.030487","0.009524","0.023081","0.001981","0.019258","0.195219","0.000836","0.004715","0.006931","0.001663"
"106","0.097129","0.030271","0.009434","0.020796","0.001423","0.018008","0.194738","0.000935","0.005520","0.004624","0.000320"
"107","0.096674","0.030058","0.009346","0.020971","0.000638","0.020409","0.195965","0.001547","0.003609","0.002783","0.000589"
"108","0.096225","0.029849","0.009259","0.017502","0.001080","0.016901","0.193539","0.001446","0.002481","0.003579","0.001964"
"109","0.095783","0.029644","0.009174","0.017440","0.005104","0.016164","0.195325","0.000475","0.000634","0.005332","0.003595"
"110","0.095346","0.029441","0.009091","0.017938","0.003377","0.018787","0.193901","0.000172","0.000925","0.004017","0.006576"
"111","0.094916","0.029242","0.009009","0.019020","0.004857","0.018833","0.194331","0.000305","0.001810","0.006481","0.004976"
"112","0.094491","0.029046","0.008929","0.014968","0.004491","0.018114","0.191120","0.002569","0.002870","0.004369","0.003003"
"113","0.094072","0.028853","0.008850","0.013018","0.007475","0.015911","0.193211","0.000706","0.001983","0.004074","0.001219"
"114","0.093659","0.028663","0.008772","0.015217","0.004601","0.017400","0.192995","0.000237","0.001252","0.003805","0.001115"
"115","0.093250","0.028476","0.008696","0.015266","0.004868","0.020973","0.194293","0.000850","0.002196","0.005575","0.004641"
"116","0.092848","0.028292","0.008621","0.017971","0.007836","0.018818","0.192265","0.002751","0.005312","0.007911","0.003178"
"117","0.092450","0.028110","0.008547","0.019227","0.008929","0.019889","0.194025","0.000023","0.003984","0.011430","0.000657"
"118","0.092057","0.027931","0.008475","0.016104","0.008323","0.019618","0.192924","0.000540","0.001873","0.012158","0.002335"
"119","0.091670","0.027755","0.008403","0.018018","0.007050","0.022316","0.193510","0.002105","0.000143","0.008763","0.003561"
"120","0.091287","0.027581","0.008333","0.018061","0.009126","0.019590","0.190714","0.001440","0.002852","0.008132","0.004129"
"121","0.090909","0.027410","0.008264","0.017767","0.008218","0.019472","0.192569","0.000959","0.002698","0.006183","0.004729"
"122","0.090536","0.027241","0.008197","0.016737","0.006881","0.021855","0.191941","0.000162","0.003261","0.005543","0.003641"
"123","0.090167","0.027075","0.008130","0.017404","0.007994","0.023004","0.192851","0.000928","0.001538","0.003352","0.007019"
"124","0.089803","0.026911","0.008065","0.017023","0.008467","0.022130","0.190545","0.000939","0.004014","0.001254","0.006023"
"125","0.089443","0.026750","0.008000","0.016039","0.011649","0.020945","0.191993","0.001577","0.003365","0.001212","0.006886"
"126","0.089087","0.026590","0.007937","0.013906","0.009355","0.022784","0.190550","0.000022","0.006477","0.002366","0.006263"
"127","0.088736","0.026433","0.007874","0.012849","0.009822","0.022025","0.190745","0.000653","0.005961","0.004354","0.005687"
"128","0.088388","0.026278","0.007813","0.012398","0.008587","0.020462","0.187772","0.003286","0.004590","0.003737","0.005680"
"129","0.088045","0.026125","0.007752","0.013314","0.010489","0.017885","0.189625","0.001923","0.001831","0.005523","0.009028"
"130","0.087706","0.025974","0.007692","0.011609","0.009668","0.018238","0.189749","0.001895","0.001169","0.004094","0.009676"
"131","0.087370","0.025825","0.007634","0.013475","0.008988","0.021233","0.191085","0.002703","0.001349","0.006096","0.007256"
"132","0.087039","0.025678","0.007576","0.013487","0.011063","0.018793","0.189634","0.004707","0.002674","0.007809","0.006210"
"133","0.086711","0.025534","0.007519","0.012784","0.011179","0.019077","0.191288","0.002555","0.000393","0.007163","0.004212"
"134","0.086387","0.025391","0.007463","0.014065","0.009995","0.017924","0.190639","0.002411","0.002239","0.008484","0.005122"
"135","0.086066","0.025249","0.007407","0.012079","0.008101","0.019820","0.191403","0.001171","0.005465","0.007889","0.003983"
"136","0.085749","0.025110","0.007353","0.012146","0.009120","0.016811","0.189232","0.004126","0.004281","0.006329","0.003152"
"137","0.085436","0.024972","0.007299","0.013113","0.007606","0.016082","0.190920","0.003442","0.006099","0.007433","0.002046"
"138","0.085126","0.024837","0.007246","0.014466","0.005767","0.017849","0.190659","0.002113","0.008004","0.008159","0.003541"
"139","0.084819","0.024702","0.007194","0.011552","0.006200","0.018030","0.191667","0.001337","0.006792","0.007314","0.005670"
"140","0.084515","0.024570","0.007143","0.012939","0.005775","0.016662","0.189914","0.002847","0.005235","0.008429","0.005321"
"141","0.084215","0.024439","0.007092","0.014610","0.008129","0.014813","0.191322","0.000486","0.006233","0.008774","0.002361"
"142","0.083918","0.024310","0.007042","0.012467","0.005569","0.015679","0.190331","0.001514","0.004819","0.006819","0.000565"
"143","0.083624","0.024182","0.006993","0.012266","0.005266","0.014276","0.190745","0.002194","0.004716","0.004823","0.000628"
"144","0.083333","0.024056","0.006944","0.011344","0.003502","0.015592","0.188355","0.004964","0.002137","0.004377","0.000722"
"145","0.083045","0.023932","0.006897","0.009147","0.004485","0.015786","0.189962","0.004111","0.001091","0.002266","0.001139"
"146","0.082761","0.023809","0.006849","0.007921","0.003330","0.015354","0.189883","0.003011","0.000613","0.002288","0.000133"
"147","0.082479","0.023687","0.006803","0.006973","0.002035","0.017535","0.190942","0.001741","0.001255","0.004933","0.000542"
"148","0.082199","0.023567","0.006757","0.007877","0.003313","0.017183","0.189456","0.002860","0.000217","0.004439","0.001718"
"149","0.081923","0.023448","0.006711","0.006628","0.002722","0.016804","0.190848","0.000449","0.001320","0.003512","0.004206"
"150","0.081650","0.023331","0.006667","0.006603","0.001162","0.015067","0.190079","0.000628","0.000941","0.005712","0.004358"
"151","0.081379","0.023215","0.006623","0.008199","0.001043","0.016075","0.190604","0.001567","0.000601","0.005211","0.006462"
"152","0.081111","0.023100","0.006579","0.005446","0.000852","0.018847","0.188493","0.002926","0.001389","0.007203","0.006353"
"153","0.080845","0.022987","0.006536","0.005714","0.001593","0.017513","0.189948","0.000837","0.001601","0.007719","0.004374"
"154","0.080582","0.022875","0.006494","0.007021","0.000535","0.018542","0.189536","0.000148","0.000510","0.005473","0.002421"
"155","0.080322","0.022764","0.006452","0.005296","0.000692","0.018151","0.190304","0.000605","0.001661","0.005611","0.001826"
"156","0.080064","0.022655","0.006410","0.006553","0.001752","0.020080","0.188563","0.001632","0.001117","0.008027","0.002632"
"157","0.079809","0.022546","0.006369","0.004265","0.000203","0.017860","0.189731","0.000401","0.001863","0.007760","0.004586"
