"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"111","0.094916","0.029242","0.009009","0.027449","0.124154","0.011530","0.006539","0.023253","0.021587","0.223353","0.000009","0.000641","0.000447","0.001140"
"112","0.094491","0.029046","0.008929","0.025524","0.123078","0.011701","0.007855","0.023137","0.023604","0.222661","0.002020","0.000376","0.001420","0.002959"
"113","0.094072","0.028853","0.008850","0.026968","0.122994","0.013678","0.005899","0.020685","0.025004","0.222850","0.000083","0.000196","0.000804","0.001858"
"114","0.093659","0.028663","0.008772","0.026347","0.122264","0.009483","0.008377","0.021340","0.022621","0.222551","0.001380","0.001756","0.002562","0.000094"
"115","0.093250","0.028476","0.008696","0.029025","0.121893","0.009341","0.007543","0.022450","0.023586","0.222495","0.001866","0.000633","0.004431","0.000134"
"116","0.092848","0.028292","0.008621","0.029649","0.120949","0.011331","0.008471","0.020420","0.025527","0.221953","0.003135","0.001987","0.002574","0.002016"
"117","0.092450","0.028110","0.008547","0.028265","0.120327","0.013033","0.006732","0.021602","0.025348","0.222019","0.000625","0.003212","0.002935","0.004002"
"118","0.092057","0.027931","0.008475","0.030123","0.119248","0.013850","0.007508","0.021513","0.025154","0.221598","0.001309","0.003767","0.004787","0.004187"
"119","0.091670","0.027755","0.008403","0.029982","0.118972","0.012249","0.008442","0.023146","0.023487","0.221420","0.000800","0.005833","0.002782","0.004979"
"120","0.091287","0.027581","0.008333","0.027885","0.118149","0.013374","0.006947","0.018800","0.024159","0.220758","0.001247","0.007511","0.003528","0.000560"
"121","0.090909","0.027410","0.008264","0.028976","0.117629","0.014709","0.009704","0.018614","0.024945","0.220886","0.000483","0.005532","0.001784","0.000543"
"122","0.090536","0.027241","0.008197","0.028119","0.116646","0.013534","0.007730","0.017581","0.021142","0.220527","0.000437","0.006720","0.003238","0.000104"
"123","0.090167","0.027075","0.008130","0.030389","0.115916","0.015357","0.007801","0.018907","0.022150","0.220411","0.000010","0.006834","0.004916","0.000403"
"124","0.089803","0.026911","0.008065","0.030719","0.114940","0.015583","0.011967","0.019966","0.020682","0.219810","0.001165","0.008767","0.005895","0.002514"
