"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"125","0.089443","0.026750","0.008000","0.052000","0.004000","0.012000","0.004000","0.012000","0.004000"
"126","0.089087","0.026590","0.007937","0.055556","0.000000","0.015873","0.007937","0.007936","0.007936"
"127","0.088736","0.026433","0.007874","0.059055","0.003937","0.011811","0.011811","0.011811","0.011811"
"128","0.088388","0.026278","0.007813","0.062500","0.000000","0.015625","0.007813","0.007812","0.015625"
"129","0.088045","0.026125","0.007752","0.058140","0.003876","0.011628","0.003876","0.003876","0.019380"
"130","0.087706","0.025974","0.007692","0.053846","0.000000","0.007692","0.000000","0.000000","0.023077"
"131","0.087370","0.025825","0.007634","0.049618","0.003817","0.011450","0.003817","0.003817","0.019084"
"132","0.087039","0.025678","0.007576","0.053030","0.007576","0.015151","0.007576","0.007576","0.015151"
"133","0.086711","0.025534","0.007519","0.056391","0.003759","0.018797","0.003760","0.011278","0.011278"
"134","0.086387","0.025391","0.007463","0.059702","0.007463","0.014925","0.000000","0.007463","0.014925"
"135","0.086066","0.025249","0.007407","0.055556","0.003704","0.011111","0.003704","0.011111","0.018518"
"136","0.085749","0.025110","0.007353","0.058824","0.000000","0.007353","0.007353","0.014706","0.014706"
"137","0.085436","0.024972","0.007299","0.054745","0.003650","0.010949","0.010949","0.010949","0.018248"
"138","0.085126","0.024837","0.007246","0.050725","0.000000","0.014493","0.007246","0.014493","0.021739"
"139","0.084819","0.024702","0.007194","0.046763","0.003597","0.010791","0.010791","0.017986","0.025180"
"140","0.084515","0.024570","0.007143","0.042857","0.000000","0.014286","0.007143","0.021428","0.021428"
"141","0.084215","0.024439","0.007092","0.039007","0.003546","0.010638","0.003546","0.017730","0.017730"
"142","0.083918","0.024310","0.007042","0.042254","0.000000","0.014084","0.007042","0.014084","0.021127"
"143","0.083624","0.024182","0.006993","0.038462","0.003496","0.010489","0.003496","0.017482","0.024475"
"144","0.083333","0.024056","0.006944","0.041667","0.000000","0.013889","0.006944","0.020833","0.027778"
"145","0.083045","0.023932","0.006897","0.044828","0.003448","0.017241","0.003448","0.024138","0.024138"
"146","0.082761","0.023809","0.006849","0.041096","0.000000","0.013698","0.006849","0.027397","0.020548"
"147","0.082479","0.023687","0.006803","0.044218","0.003401","0.017007","0.003401","0.030612","0.017007"
"148","0.082199","0.023567","0.006757","0.047297","0.006757","0.020270","0.006757","0.027027","0.013513"
"149","0.081923","0.023448","0.006711","0.050336","0.003355","0.023490","0.010067","0.023490","0.016778"
"150","0.081650","0.023331","0.006667","0.046667","0.006666","0.020000","0.013333","0.020000","0.020000"
"151","0.081379","0.023215","0.006623","0.049669","0.003311","0.016556","0.016556","0.016556","0.023179"
"152","0.081111","0.023100","0.006579","0.046053","0.000000","0.013158","0.013158","0.013158","0.026316"
"153","0.080845","0.022987","0.006536","0.049020","0.003268","0.016340","0.009804","0.016340","0.029412"
"154","0.080582","0.022875","0.006494","0.051948","0.006493","0.019480","0.012987","0.019480","0.032467"
"155","0.080322","0.022764","0.006452","0.048387","0.009677","0.016129","0.016129","0.016129","0.029032"
"156","0.080064","0.022655","0.006410","0.044872","0.006410","0.012820","0.019231","0.019231","0.025641"
"157","0.079809","0.022546","0.006369","0.047771","0.003184","0.009554","0.022293","0.022293","0.022293"
"158","0.079556","0.022439","0.006329","0.050633","0.000000","0.012658","0.025316","0.025316","0.025316"
"159","0.079305","0.022333","0.006289","0.053459","0.003144","0.015723","0.028302","0.028302","0.028302"
"160","0.079057","0.022228","0.006250","0.056250","0.006250","0.012500","0.025000","0.025000","0.025000"
"161","0.078811","0.022125","0.006211","0.052795","0.003105","0.015528","0.021739","0.021739","0.021739"
"162","0.078567","0.022022","0.006173","0.055556","0.000000","0.012346","0.024691","0.018518","0.018518"
"163","0.078326","0.021921","0.006135","0.052147","0.003068","0.009202","0.021472","0.021472","0.021472"
"164","0.078087","0.021821","0.006098","0.054878","0.000000","0.006097","0.018292","0.018292","0.018293"
"165","0.077850","0.021721","0.006061","0.051515","0.003031","0.009091","0.015151","0.015151","0.015151"
"166","0.077615","0.021623","0.006024","0.048193","0.006024","0.012048","0.018072","0.012048","0.012048"
"167","0.077382","0.021526","0.005988","0.044910","0.002994","0.008982","0.020958","0.014970","0.014970"
"168","0.077152","0.021430","0.005952","0.047619","0.005953","0.005952","0.017857","0.017857","0.011905"
"169","0.076923","0.021335","0.005917","0.044379","0.002959","0.008876","0.020710","0.020710","0.014793"
"170","0.076697","0.021240","0.005882","0.041176","0.005883","0.011765","0.017647","0.017647","0.017647"
"171","0.076472","0.021147","0.005848","0.043860","0.002924","0.008772","0.014620","0.014620","0.020468"
"172","0.076249","0.021055","0.005814","0.046512","0.005814","0.005814","0.017442","0.017442","0.017442"
"173","0.076029","0.020964","0.005780","0.043353","0.008671","0.008670","0.020231","0.014451","0.014451"
"174","0.075810","0.020873","0.005747","0.045977","0.005747","0.011494","0.017241","0.017241","0.017241"
"175","0.075593","0.020784","0.005714","0.042857","0.002857","0.014286","0.014285","0.014286","0.020000"
"176","0.075378","0.020695","0.005682","0.045455","0.000000","0.011363","0.011363","0.011364","0.022727"
"177","0.075165","0.020607","0.005650","0.048023","0.002825","0.014124","0.014124","0.008474","0.025424"
"178","0.074953","0.020520","0.005618","0.044944","0.005618","0.011236","0.011236","0.005618","0.022472"
"179","0.074744","0.020434","0.005587","0.041899","0.008380","0.008380","0.013966","0.002793","0.019553"
"180","0.074536","0.020349","0.005556","0.044444","0.005556","0.011111","0.016666","0.000000","0.022222"
"181","0.074329","0.020265","0.005525","0.041436","0.002763","0.013812","0.013812","0.002762","0.019337"
"182","0.074125","0.020181","0.005495","0.038462","0.005495","0.016483","0.010989","0.000000","0.016483"
"183","0.073922","0.020098","0.005464","0.035519","0.002733","0.013661","0.013661","0.002732","0.013661"
"184","0.073721","0.020016","0.005435","0.038043","0.005435","0.010869","0.010869","0.005435","0.016304"
