"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"938","0.032651","0.005900","0.001066","0.006397","0.000000","0.002132","0.012793","0.003198","0.005331"
"939","0.032634","0.005895","0.001065","0.006923","0.000532","0.002662","0.013312","0.003727","0.005858"
"940","0.032616","0.005891","0.001064","0.007447","0.001064","0.002128","0.012766","0.003191","0.006383"
"941","0.032599","0.005886","0.001063","0.007971","0.001594","0.001594","0.013284","0.002657","0.006908"
"942","0.032582","0.005881","0.001062","0.007431","0.001062","0.002123","0.012739","0.003185","0.007431"
"943","0.032564","0.005876","0.001060","0.007954","0.001591","0.001591","0.013256","0.002651","0.007954"
"944","0.032547","0.005872","0.001059","0.007416","0.001059","0.001059","0.012712","0.002119","0.008475"
"945","0.032530","0.005867","0.001058","0.006879","0.001587","0.000529","0.013228","0.002646","0.008995"
"946","0.032513","0.005862","0.001057","0.006343","0.001057","0.001057","0.012685","0.002114","0.008457"
"947","0.032496","0.005858","0.001056","0.006864","0.000528","0.001584","0.012144","0.002640","0.007920"
"948","0.032478","0.005853","0.001055","0.007384","0.001055","0.001055","0.012658","0.002110","0.008439"
"949","0.032461","0.005849","0.001054","0.006850","0.001581","0.001581","0.012118","0.002634","0.007903"
"950","0.032444","0.005844","0.001053","0.007369","0.001053","0.001053","0.011579","0.002105","0.007369"
"951","0.032427","0.005839","0.001052","0.007887","0.000526","0.001577","0.011041","0.001577","0.007887"
"952","0.032410","0.005835","0.001050","0.007353","0.001050","0.001050","0.011555","0.001051","0.007353"
"953","0.032393","0.005830","0.001049","0.007870","0.000525","0.000525","0.012067","0.001574","0.006821"
"954","0.032376","0.005826","0.001048","0.008386","0.000000","0.001048","0.012579","0.001048","0.006290"
"955","0.032359","0.005821","0.001047","0.008901","0.000524","0.001571","0.012042","0.000524","0.005759"
"956","0.032342","0.005816","0.001046","0.008369","0.000000","0.001046","0.012552","0.000000","0.005230"
"957","0.032325","0.005812","0.001045","0.007837","0.000522","0.000522","0.013062","0.000522","0.004702"
"958","0.032309","0.005807","0.001044","0.007307","0.000000","0.001044","0.013570","0.000000","0.005219"
"959","0.032292","0.005803","0.001043","0.006778","0.000521","0.000521","0.014077","0.000521","0.005735"
"960","0.032275","0.005798","0.001042","0.007292","0.000000","0.000000","0.013542","0.000000","0.005209"
"961","0.032258","0.005794","0.001041","0.007805","0.000520","0.000520","0.014048","0.000520","0.005723"
"962","0.032241","0.005789","0.001040","0.007277","0.000000","0.001040","0.013514","0.000000","0.006237"
"963","0.032225","0.005785","0.001038","0.006750","0.000519","0.001558","0.014019","0.000519","0.005712"
"964","0.032208","0.005780","0.001037","0.006225","0.000000","0.001037","0.014523","0.001037","0.006224"
"965","0.032191","0.005776","0.001036","0.005700","0.000518","0.000518","0.015026","0.001554","0.005700"
"966","0.032174","0.005771","0.001035","0.006212","0.001035","0.000000","0.015528","0.002070","0.006211"
"967","0.032158","0.005767","0.001034","0.005688","0.001551","0.000517","0.016029","0.001551","0.006722"
"968","0.032141","0.005762","0.001033","0.006199","0.001033","0.000000","0.016529","0.001033","0.007232"
"969","0.032125","0.005758","0.001032","0.005676","0.000516","0.000516","0.015996","0.000516","0.007740"
"970","0.032108","0.005753","0.001031","0.006186","0.001031","0.000000","0.016495","0.000000","0.007217"
"971","0.032092","0.005749","0.001030","0.005665","0.000515","0.000515","0.015963","0.000515","0.006694"
"972","0.032075","0.005744","0.001029","0.005144","0.001029","0.000000","0.015432","0.000000","0.006173"
"973","0.032059","0.005740","0.001028","0.005653","0.000514","0.000514","0.014903","0.000514","0.005653"
"974","0.032042","0.005736","0.001027","0.006161","0.001027","0.000000","0.014374","0.001027","0.006160"
"975","0.032026","0.005731","0.001026","0.006667","0.001538","0.000513","0.014872","0.000513","0.005641"
"976","0.032009","0.005727","0.001025","0.006148","0.001025","0.001025","0.014344","0.001025","0.006148"
"977","0.031993","0.005722","0.001024","0.005630","0.000512","0.001535","0.013818","0.001535","0.006653"
"978","0.031976","0.005718","0.001022","0.006135","0.000000","0.001022","0.014315","0.001023","0.006135"
"979","0.031960","0.005714","0.001021","0.006640","0.000511","0.001532","0.014811","0.001532","0.005618"
"980","0.031944","0.005709","0.001020","0.006123","0.000000","0.001020","0.015306","0.001020","0.005102"
"981","0.031928","0.005705","0.001019","0.005607","0.000510","0.000510","0.014781","0.001529","0.005607"
"982","0.031911","0.005701","0.001018","0.005092","0.000000","0.001018","0.015275","0.001018","0.005092"
"983","0.031895","0.005696","0.001017","0.004578","0.000509","0.001526","0.014751","0.000509","0.004578"
"984","0.031879","0.005692","0.001016","0.004065","0.000000","0.002033","0.014228","0.000000","0.004065"
"985","0.031863","0.005688","0.001015","0.004569","0.000508","0.001523","0.013706","0.000508","0.003553"
"986","0.031846","0.005683","0.001014","0.004057","0.001014","0.002028","0.013185","0.001014","0.003043"
"987","0.031830","0.005679","0.001013","0.004560","0.000507","0.001520","0.012665","0.001520","0.003546"
"988","0.031814","0.005675","0.001012","0.004049","0.000000","0.002024","0.013158","0.001012","0.004049"
"989","0.031798","0.005670","0.001011","0.003539","0.000506","0.001517","0.013650","0.001517","0.004550"
"990","0.031782","0.005666","0.001010","0.004041","0.001010","0.001010","0.013132","0.002020","0.005051"
"991","0.031766","0.005662","0.001009","0.003532","0.000505","0.001514","0.013623","0.001514","0.005550"
"992","0.031750","0.005657","0.001008","0.004033","0.001008","0.002016","0.014113","0.001008","0.006049"
"993","0.031734","0.005653","0.001007","0.004532","0.000504","0.001511","0.013595","0.000504","0.006546"
"994","0.031718","0.005649","0.001006","0.004025","0.001006","0.001006","0.014085","0.001006","0.006036"
"995","0.031702","0.005645","0.001005","0.003518","0.000503","0.001508","0.014573","0.000503","0.005528"
"996","0.031686","0.005640","0.001004","0.003012","0.001004","0.001004","0.015060","0.001004","0.005020"
"997","0.031670","0.005636","0.001003","0.003511","0.001505","0.000502","0.014544","0.001505","0.005517"
"998","0.031654","0.005632","0.001002","0.003006","0.002004","0.001002","0.014028","0.001002","0.005010"
"999","0.031639","0.005628","0.001001","0.003504","0.001502","0.001502","0.014515","0.000501","0.005506"
"1000","0.031623","0.005623","0.001000","0.004000","0.001000","0.002000","0.015000","0.000000","0.006000"

