"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"27","0.192450","0.084426","0.037037","0.318310","0.318310","0.089098","0.059051","0.022014","0.059051","0.052060","0.022014","0.089097","0.015023","0.015023"
"28","0.188982","0.082155","0.035714","0.318310","0.318310","0.074547","0.068310","0.032596","0.068310","0.038833","0.003119","0.074547","0.003119","0.003119"
"29","0.185695","0.080021","0.034483","0.318310","0.318310","0.061000","0.076931","0.007965","0.076931","0.061000","0.007965","0.061000","0.007965","0.007965"
"30","0.182574","0.078012","0.033333","0.318310","0.318310","0.048357","0.051643","0.018310","0.084977","0.048357","0.018310","0.048357","0.015023","0.018310"
"31","0.179605","0.076116","0.032258","0.318310","0.318310","0.068787","0.027987","0.027987","0.092503","0.036529","0.004271","0.036529","0.004271","0.027987"
"32","0.176777","0.074325","0.031250","0.318310","0.318310","0.056690","0.037060","0.037060","0.099560","0.025440","0.025440","0.056690","0.025440","0.005810"
"33","0.174078","0.072630","0.030303","0.318310","0.318310","0.045327","0.045583","0.015280","0.106189","0.045327","0.015023","0.045326","0.015023","0.015023"
"34","0.171499","0.071022","0.029412","0.318310","0.318310","0.034631","0.024192","0.005219","0.083016","0.034631","0.005220","0.034631","0.005220","0.034631"
"35","0.169031","0.069494","0.028571","0.318310","0.318310","0.053119","0.032596","0.004024","0.089738","0.053119","0.024547","0.053119","0.004024","0.024547"
"36","0.166667","0.068041","0.027778","0.318310","0.318310","0.042801","0.040532","0.012754","0.068310","0.042801","0.015023","0.070579","0.012754","0.015023"
"37","0.164399","0.066657","0.027027","0.318310","0.318310","0.033041","0.021013","0.006014","0.075067","0.060069","0.006014","0.060068","0.021013","0.033042"
"38","0.162221","0.065337","0.026316","0.318310","0.318310","0.023795","0.028836","0.023795","0.081468","0.050111","0.002520","0.050111","0.002520","0.023795"
"39","0.160128","0.064077","0.025641","0.318310","0.318310","0.040664","0.010618","0.015023","0.087541","0.040664","0.015023","0.040664","0.010618","0.015023"
"40","0.158114","0.062872","0.025000","0.318310","0.318310","0.031690","0.006690","0.006690","0.093310","0.031690","0.031690","0.031690","0.018310","0.006690"
"41","0.156174","0.061718","0.024390","0.318310","0.318310","0.023154","0.001237","0.023154","0.098798","0.047544","0.023154","0.023154","0.025627","0.023154"
"42","0.154303","0.060613","0.023810","0.318310","0.318310","0.015023","0.015023","0.038833","0.104024","0.038833","0.015023","0.015023","0.032596","0.038833"
"43","0.152499","0.059552","0.023256","0.318310","0.318310","0.030527","0.007272","0.030527","0.109008","0.030527","0.007272","0.007271","0.015984","0.030527"
"44","0.150756","0.058534","0.022727","0.318310","0.318310","0.022599","0.000128","0.022599","0.091037","0.022599","0.000128","0.000128","0.022855","0.022599"
"45","0.149071","0.057556","0.022222","0.318310","0.318310","0.015023","0.007199","0.037246","0.096088","0.037246","0.007199","0.015023","0.007199","0.015024"
"46","0.147442","0.056615","0.021739","0.318310","0.318310","0.007777","0.013962","0.029516","0.100919","0.029516","0.013962","0.029516","0.007777","0.007777"
"47","0.145865","0.055709","0.021277","0.318310","0.318310","0.022116","0.020437","0.022116","0.105544","0.022116","0.000839","0.043392","0.000839","0.000839"
